"Month","Year","PRODUCTS","Quantity (000 Metric Tonnes)","updated_date"
"August","2023","ATF","676.75","2024-01-03"
"July","2023","ATF","663.23","2024-01-03"
"June","2023","ATF","642.33","2024-01-03"
"May","2023","ATF","670.58","2024-01-03"
"April","2023","ATF","655.98","2024-01-03"
"March","2023","ATF","688.48","2024-01-03"
"February","2023","ATF","626.08","2024-01-03"
"January","2023","ATF","667.84","2024-01-03"
"December","2022","ATF","659.00","2024-01-03"
"November","2022","ATF","617.86","2024-01-03"
"October","2022","ATF","615.78","2024-01-03"
"September","2022","ATF","592.14","2024-01-03"
"August","2022","ATF","595.69","2024-01-03"
"July","2022","ATF","578.59","2024-01-03"
"June","2022","ATF","588.17","2024-01-03"
"May","2022","ATF","595.73","2024-01-03"
"April","2022","ATF","552.72","2024-01-03"
"March","2022","ATF","542.64","2024-01-03"
"February","2022","ATF","434.89","2024-01-03"
"January","2022","ATF","455.52","2024-01-03"
"December","2021","ATF","552.04","2024-01-03"
"November","2021","ATF","503.86","2024-01-03"
"October","2021","ATF","478.82","2024-01-03"
"September","2021","ATF","409.06","2024-01-03"
"August","2021","ATF","379.31","2024-01-03"
"July","2021","ATF","315.33","2024-01-03"
"June","2021","ATF","257.08","2024-01-03"
"May","2021","ATF","267.67","2024-01-03"
"April","2021","ATF","411.76","2024-01-03"
"March","2021","ATF","474.00","2024-01-03"
"February","2021","ATF","432.00","2024-01-03"
"January","2021","ATF","441.00","2024-01-03"
"December","2020","ATF","427.00","2024-01-03"
"November","2020","ATF","376.00","2024-01-03"
"October","2020","ATF","360.00","2024-01-03"
"September","2020","ATF","313.00","2024-01-03"
"August","2020","ATF","256.00","2024-01-03"
"July","2020","ATF","233.00","2024-01-03"
"June","2020","ATF","222.00","2024-01-03"
"May","2020","ATF","110.00","2024-01-03"
"April","2020","ATF","55.00","2024-01-03"
"August","2023","Bitumen","500.82","2024-01-03"
"July","2023","Bitumen","513.63","2024-01-03"
"June","2023","Bitumen","751.98","2024-01-03"
"May","2023","Bitumen","863.68","2024-01-03"
"April","2023","Bitumen","877.78","2024-01-03"
"March","2023","Bitumen","1061.63","2024-01-03"
"February","2023","Bitumen","874.03","2024-01-03"
"January","2023","Bitumen","708.47","2024-01-03"
"December","2022","Bitumen","716.70","2024-01-03"
"November","2022","Bitumen","845.25","2024-01-03"
"October","2022","Bitumen","590.08","2024-01-03"
"September","2022","Bitumen","362.76","2024-01-03"
"August","2022","Bitumen","316.36","2024-01-03"
"July","2022","Bitumen","340.91","2024-01-03"
"June","2022","Bitumen","689.77","2024-01-03"
"May","2022","Bitumen","734.11","2024-01-03"
"April","2022","Bitumen","801.01","2024-01-03"
"March","2022","Bitumen","943.28","2024-01-03"
"February","2022","Bitumen","883.86","2024-01-03"
"January","2022","Bitumen","826.32","2024-01-03"
"December","2021","Bitumen","771.65","2024-01-03"
"November","2021","Bitumen","546.53","2024-01-03"
"October","2021","Bitumen","659.62","2024-01-03"
"September","2021","Bitumen","397.39","2024-01-03"
"August","2021","Bitumen","311.69","2024-01-03"
"July","2021","Bitumen","434.65","2024-01-03"
"June","2021","Bitumen","569.97","2024-01-03"
"May","2021","Bitumen","653.27","2024-01-03"
"April","2021","Bitumen","818.11","2024-01-03"
"March","2021","Bitumen","1012.00","2024-01-03"
"February","2021","Bitumen","853.00","2024-01-03"
"January","2021","Bitumen","821.00","2024-01-03"
"December","2020","Bitumen","856.00","2024-01-03"
"November","2020","Bitumen","717.00","2024-01-03"
"October","2020","Bitumen","640.00","2024-01-03"
"September","2020","Bitumen","415.00","2024-01-03"
"August","2020","Bitumen","270.00","2024-01-03"
"July","2020","Bitumen","414.00","2024-01-03"
"June","2020","Bitumen","751.00","2024-01-03"
"May","2020","Bitumen","590.00","2024-01-03"
"April","2020","Bitumen","187.00","2024-01-03"
"August","2023","FO & LSHS","509.73","2024-01-03"
